areaCode,areaName,areaType,date,newCasesByPublishDate
E09000027,Richmond upon Thames,utla,2023-02-23,82
E09000027,Richmond upon Thames,utla,2023-02-22,0
E09000027,Richmond upon Thames,utla,2023-02-21,0
E09000027,Richmond upon Thames,utla,2023-02-20,0
E09000027,Richmond upon Thames,utla,2023-02-19,0
E09000027,Richmond upon Thames,utla,2023-02-18,0
E09000027,Richmond upon Thames,utla,2023-02-17,0
E09000027,Richmond upon Thames,utla,2023-02-16,62
E09000027,Richmond upon Thames,utla,2023-02-15,0
E09000027,Richmond upon Thames,utla,2023-02-14,0
E09000027,Richmond upon Thames,utla,2023-02-13,0
E09000027,Richmond upon Thames,utla,2023-02-12,0
E09000027,Richmond upon Thames,utla,2023-02-11,0
E09000027,Richmond upon Thames,utla,2023-02-10,0
E09000027,Richmond upon Thames,utla,2023-02-09,72
E09000027,Richmond upon Thames,utla,2023-02-08,0
E09000027,Richmond upon Thames,utla,2023-02-07,0
E09000027,Richmond upon Thames,utla,2023-02-06,0
E09000027,Richmond upon Thames,utla,2023-02-05,0
E09000027,Richmond upon Thames,utla,2023-02-04,0
E09000027,Richmond upon Thames,utla,2023-02-03,0
E09000027,Richmond upon Thames,utla,2023-02-02,45
E09000027,Richmond upon Thames,utla,2023-02-01,0
E09000027,Richmond upon Thames,utla,2023-01-31,0
E09000027,Richmond upon Thames,utla,2023-01-30,0
E09000027,Richmond upon Thames,utla,2023-01-29,0
E09000027,Richmond upon Thames,utla,2023-01-28,0
E09000027,Richmond upon Thames,utla,2023-01-27,0
E09000027,Richmond upon Thames,utla,2023-01-26,27
E09000027,Richmond upon Thames,utla,2023-01-25,0
E09000027,Richmond upon Thames,utla,2023-01-24,0
E09000027,Richmond upon Thames,utla,2023-01-23,0
E09000027,Richmond upon Thames,utla,2023-01-22,0
E09000027,Richmond upon Thames,utla,2023-01-21,0
E09000027,Richmond upon Thames,utla,2023-01-20,0
E09000027,Richmond upon Thames,utla,2023-01-19,22
E09000027,Richmond upon Thames,utla,2023-01-18,0
E09000027,Richmond upon Thames,utla,2023-01-17,0
E09000027,Richmond upon Thames,utla,2023-01-16,0
E09000027,Richmond upon Thames,utla,2023-01-15,0
E09000027,Richmond upon Thames,utla,2023-01-14,0
E09000027,Richmond upon Thames,utla,2023-01-13,0
E09000027,Richmond upon Thames,utla,2023-01-12,47
E09000027,Richmond upon Thames,utla,2023-01-11,0
E09000027,Richmond upon Thames,utla,2023-01-10,0
E09000027,Richmond upon Thames,utla,2023-01-09,0
E09000027,Richmond upon Thames,utla,2023-01-08,0
E09000027,Richmond upon Thames,utla,2023-01-07,0
E09000027,Richmond upon Thames,utla,2023-01-06,0
E09000027,Richmond upon Thames,utla,2023-01-05,82
E09000027,Richmond upon Thames,utla,2023-01-04,0
E09000027,Richmond upon Thames,utla,2023-01-03,0
E09000027,Richmond upon Thames,utla,2023-01-02,0
E09000027,Richmond upon Thames,utla,2023-01-01,0
E09000027,Richmond upon Thames,utla,2022-12-31,0
E09000027,Richmond upon Thames,utla,2022-12-30,0
E09000027,Richmond upon Thames,utla,2022-12-29,110
E09000027,Richmond upon Thames,utla,2022-12-28,0
E09000027,Richmond upon Thames,utla,2022-12-27,0
E09000027,Richmond upon Thames,utla,2022-12-26,0
E09000027,Richmond upon Thames,utla,2022-12-25,0
E09000027,Richmond upon Thames,utla,2022-12-24,0
E09000027,Richmond upon Thames,utla,2022-12-23,0
E09000027,Richmond upon Thames,utla,2022-12-22,142
E09000027,Richmond upon Thames,utla,2022-12-21,0
E09000027,Richmond upon Thames,utla,2022-12-20,0
E09000027,Richmond upon Thames,utla,2022-12-19,0
E09000027,Richmond upon Thames,utla,2022-12-18,0
E09000027,Richmond upon Thames,utla,2022-12-17,0
E09000027,Richmond upon Thames,utla,2022-12-16,0
E09000027,Richmond upon Thames,utla,2022-12-15,96
E09000027,Richmond upon Thames,utla,2022-12-14,0
E09000027,Richmond upon Thames,utla,2022-12-13,0
E09000027,Richmond upon Thames,utla,2022-12-12,0
E09000027,Richmond upon Thames,utla,2022-12-11,0
E09000027,Richmond upon Thames,utla,2022-12-10,0
E09000027,Richmond upon Thames,utla,2022-12-09,0
E09000027,Richmond upon Thames,utla,2022-12-08,69
E09000027,Richmond upon Thames,utla,2022-12-07,0
E09000027,Richmond upon Thames,utla,2022-12-06,0
E09000027,Richmond upon Thames,utla,2022-12-05,0
E09000027,Richmond upon Thames,utla,2022-12-04,0
E09000027,Richmond upon Thames,utla,2022-12-03,0
E09000027,Richmond upon Thames,utla,2022-12-02,0
E09000027,Richmond upon Thames,utla,2022-12-01,71
E09000027,Richmond upon Thames,utla,2022-11-30,0
E09000027,Richmond upon Thames,utla,2022-11-29,0
E09000027,Richmond upon Thames,utla,2022-11-28,0
E09000027,Richmond upon Thames,utla,2022-11-27,0
E09000027,Richmond upon Thames,utla,2022-11-26,0
E09000027,Richmond upon Thames,utla,2022-11-25,0
E09000027,Richmond upon Thames,utla,2022-11-24,53
E09000027,Richmond upon Thames,utla,2022-11-23,0
E09000027,Richmond upon Thames,utla,2022-11-22,0
E09000027,Richmond upon Thames,utla,2022-11-21,0
E09000027,Richmond upon Thames,utla,2022-11-20,0
E09000027,Richmond upon Thames,utla,2022-11-19,0
E09000027,Richmond upon Thames,utla,2022-11-18,0
E09000027,Richmond upon Thames,utla,2022-11-17,66
E09000027,Richmond upon Thames,utla,2022-11-16,0
E09000027,Richmond upon Thames,utla,2022-11-15,0
E09000027,Richmond upon Thames,utla,2022-11-14,0
E09000027,Richmond upon Thames,utla,2022-11-13,0
E09000027,Richmond upon Thames,utla,2022-11-12,0
E09000027,Richmond upon Thames,utla,2022-11-11,0
E09000027,Richmond upon Thames,utla,2022-11-10,64
E09000027,Richmond upon Thames,utla,2022-11-09,0
E09000027,Richmond upon Thames,utla,2022-11-08,0
E09000027,Richmond upon Thames,utla,2022-11-07,0
E09000027,Richmond upon Thames,utla,2022-11-06,0
E09000027,Richmond upon Thames,utla,2022-11-05,0
E09000027,Richmond upon Thames,utla,2022-11-04,0
E09000027,Richmond upon Thames,utla,2022-11-03,66
E09000027,Richmond upon Thames,utla,2022-11-02,0
E09000027,Richmond upon Thames,utla,2022-11-01,0
E09000027,Richmond upon Thames,utla,2022-10-31,0
E09000027,Richmond upon Thames,utla,2022-10-30,0
E09000027,Richmond upon Thames,utla,2022-10-29,0
E09000027,Richmond upon Thames,utla,2022-10-28,0
E09000027,Richmond upon Thames,utla,2022-10-27,94
E09000027,Richmond upon Thames,utla,2022-10-26,0
E09000027,Richmond upon Thames,utla,2022-10-25,0
E09000027,Richmond upon Thames,utla,2022-10-24,0
E09000027,Richmond upon Thames,utla,2022-10-23,0
E09000027,Richmond upon Thames,utla,2022-10-22,0
E09000027,Richmond upon Thames,utla,2022-10-21,0
E09000027,Richmond upon Thames,utla,2022-10-20,118
E09000027,Richmond upon Thames,utla,2022-10-19,0
E09000027,Richmond upon Thames,utla,2022-10-18,0
E09000027,Richmond upon Thames,utla,2022-10-17,0
E09000027,Richmond upon Thames,utla,2022-10-16,0
E09000027,Richmond upon Thames,utla,2022-10-15,0
E09000027,Richmond upon Thames,utla,2022-10-14,0
E09000027,Richmond upon Thames,utla,2022-10-13,147
E09000027,Richmond upon Thames,utla,2022-10-12,0
E09000027,Richmond upon Thames,utla,2022-10-11,0
E09000027,Richmond upon Thames,utla,2022-10-10,0
E09000027,Richmond upon Thames,utla,2022-10-09,0
E09000027,Richmond upon Thames,utla,2022-10-08,0
E09000027,Richmond upon Thames,utla,2022-10-07,0
E09000027,Richmond upon Thames,utla,2022-10-06,124
E09000027,Richmond upon Thames,utla,2022-10-05,0
E09000027,Richmond upon Thames,utla,2022-10-04,0
E09000027,Richmond upon Thames,utla,2022-10-03,0
E09000027,Richmond upon Thames,utla,2022-10-02,0
E09000027,Richmond upon Thames,utla,2022-10-01,0
E09000027,Richmond upon Thames,utla,2022-09-30,0
E09000027,Richmond upon Thames,utla,2022-09-29,120
E09000027,Richmond upon Thames,utla,2022-09-28,0
E09000027,Richmond upon Thames,utla,2022-09-27,0
E09000027,Richmond upon Thames,utla,2022-09-26,0
E09000027,Richmond upon Thames,utla,2022-09-25,0
E09000027,Richmond upon Thames,utla,2022-09-24,0
E09000027,Richmond upon Thames,utla,2022-09-23,0
E09000027,Richmond upon Thames,utla,2022-09-22,110
E09000027,Richmond upon Thames,utla,2022-09-21,0
E09000027,Richmond upon Thames,utla,2022-09-20,0
E09000027,Richmond upon Thames,utla,2022-09-19,0
E09000027,Richmond upon Thames,utla,2022-09-18,0
E09000027,Richmond upon Thames,utla,2022-09-17,0
E09000027,Richmond upon Thames,utla,2022-09-16,0
E09000027,Richmond upon Thames,utla,2022-09-15,81
E09000027,Richmond upon Thames,utla,2022-09-14,0
E09000027,Richmond upon Thames,utla,2022-09-13,0
E09000027,Richmond upon Thames,utla,2022-09-12,0
E09000027,Richmond upon Thames,utla,2022-09-11,0
E09000027,Richmond upon Thames,utla,2022-09-10,0
E09000027,Richmond upon Thames,utla,2022-09-09,0
E09000027,Richmond upon Thames,utla,2022-09-08,89
E09000027,Richmond upon Thames,utla,2022-09-07,0
E09000027,Richmond upon Thames,utla,2022-09-06,0
E09000027,Richmond upon Thames,utla,2022-09-05,0
E09000027,Richmond upon Thames,utla,2022-09-04,0
E09000027,Richmond upon Thames,utla,2022-09-03,0
E09000027,Richmond upon Thames,utla,2022-09-02,0
E09000027,Richmond upon Thames,utla,2022-09-01,0
E09000027,Richmond upon Thames,utla,2022-08-31,70
E09000027,Richmond upon Thames,utla,2022-08-30,0
E09000027,Richmond upon Thames,utla,2022-08-29,0
E09000027,Richmond upon Thames,utla,2022-08-28,0
E09000027,Richmond upon Thames,utla,2022-08-27,0
E09000027,Richmond upon Thames,utla,2022-08-26,0
E09000027,Richmond upon Thames,utla,2022-08-25,0
E09000027,Richmond upon Thames,utla,2022-08-24,89
E09000027,Richmond upon Thames,utla,2022-08-23,0
E09000027,Richmond upon Thames,utla,2022-08-22,0
E09000027,Richmond upon Thames,utla,2022-08-21,0
E09000027,Richmond upon Thames,utla,2022-08-20,0
E09000027,Richmond upon Thames,utla,2022-08-19,0
E09000027,Richmond upon Thames,utla,2022-08-18,0
E09000027,Richmond upon Thames,utla,2022-08-17,94
E09000027,Richmond upon Thames,utla,2022-08-16,0
E09000027,Richmond upon Thames,utla,2022-08-15,0
E09000027,Richmond upon Thames,utla,2022-08-14,0
E09000027,Richmond upon Thames,utla,2022-08-13,0
E09000027,Richmond upon Thames,utla,2022-08-12,0
E09000027,Richmond upon Thames,utla,2022-08-11,0
E09000027,Richmond upon Thames,utla,2022-08-10,121
E09000027,Richmond upon Thames,utla,2022-08-09,0
E09000027,Richmond upon Thames,utla,2022-08-08,0
E09000027,Richmond upon Thames,utla,2022-08-07,0
E09000027,Richmond upon Thames,utla,2022-08-06,0
E09000027,Richmond upon Thames,utla,2022-08-05,0
E09000027,Richmond upon Thames,utla,2022-08-04,0
E09000027,Richmond upon Thames,utla,2022-08-03,158
E09000027,Richmond upon Thames,utla,2022-08-02,0
E09000027,Richmond upon Thames,utla,2022-08-01,0
E09000027,Richmond upon Thames,utla,2022-07-31,0
E09000027,Richmond upon Thames,utla,2022-07-30,0
E09000027,Richmond upon Thames,utla,2022-07-29,0
E09000027,Richmond upon Thames,utla,2022-07-28,0
E09000027,Richmond upon Thames,utla,2022-07-27,264
E09000027,Richmond upon Thames,utla,2022-07-26,0
E09000027,Richmond upon Thames,utla,2022-07-25,0
E09000027,Richmond upon Thames,utla,2022-07-24,0
E09000027,Richmond upon Thames,utla,2022-07-23,0
E09000027,Richmond upon Thames,utla,2022-07-22,0
E09000027,Richmond upon Thames,utla,2022-07-21,0
E09000027,Richmond upon Thames,utla,2022-07-20,412
E09000027,Richmond upon Thames,utla,2022-07-19,0
E09000027,Richmond upon Thames,utla,2022-07-18,0
E09000027,Richmond upon Thames,utla,2022-07-17,0
E09000027,Richmond upon Thames,utla,2022-07-16,0
E09000027,Richmond upon Thames,utla,2022-07-15,0
E09000027,Richmond upon Thames,utla,2022-07-14,0
E09000027,Richmond upon Thames,utla,2022-07-13,585
E09000027,Richmond upon Thames,utla,2022-07-12,0
E09000027,Richmond upon Thames,utla,2022-07-11,0
E09000027,Richmond upon Thames,utla,2022-07-10,0
E09000027,Richmond upon Thames,utla,2022-07-09,0
E09000027,Richmond upon Thames,utla,2022-07-08,0
E09000027,Richmond upon Thames,utla,2022-07-07,0
E09000027,Richmond upon Thames,utla,2022-07-06,484
E09000027,Richmond upon Thames,utla,2022-07-05,0
E09000027,Richmond upon Thames,utla,2022-07-04,0
E09000027,Richmond upon Thames,utla,2022-07-03,0
E09000027,Richmond upon Thames,utla,2022-07-02,0
E09000027,Richmond upon Thames,utla,2022-07-01,79
E09000027,Richmond upon Thames,utla,2022-06-30,71
E09000027,Richmond upon Thames,utla,2022-06-29,94
E09000027,Richmond upon Thames,utla,2022-06-28,69
E09000027,Richmond upon Thames,utla,2022-06-27,194
E09000027,Richmond upon Thames,utla,2022-06-26,0
E09000027,Richmond upon Thames,utla,2022-06-25,0
E09000027,Richmond upon Thames,utla,2022-06-24,75
E09000027,Richmond upon Thames,utla,2022-06-23,72
E09000027,Richmond upon Thames,utla,2022-06-22,73
E09000027,Richmond upon Thames,utla,2022-06-21,58
E09000027,Richmond upon Thames,utla,2022-06-20,151
E09000027,Richmond upon Thames,utla,2022-06-19,0
E09000027,Richmond upon Thames,utla,2022-06-18,0
E09000027,Richmond upon Thames,utla,2022-06-17,57
E09000027,Richmond upon Thames,utla,2022-06-16,66
E09000027,Richmond upon Thames,utla,2022-06-15,61
E09000027,Richmond upon Thames,utla,2022-06-14,51
E09000027,Richmond upon Thames,utla,2022-06-13,111
E09000027,Richmond upon Thames,utla,2022-06-12,0
E09000027,Richmond upon Thames,utla,2022-06-11,0
E09000027,Richmond upon Thames,utla,2022-06-10,42
E09000027,Richmond upon Thames,utla,2022-06-09,45
E09000027,Richmond upon Thames,utla,2022-06-08,47
E09000027,Richmond upon Thames,utla,2022-06-07,42
E09000027,Richmond upon Thames,utla,2022-06-06,110
E09000027,Richmond upon Thames,utla,2022-06-05,0
E09000027,Richmond upon Thames,utla,2022-06-04,0
E09000027,Richmond upon Thames,utla,2022-06-03,0
E09000027,Richmond upon Thames,utla,2022-06-02,0
E09000027,Richmond upon Thames,utla,2022-06-01,22
E09000027,Richmond upon Thames,utla,2022-05-31,18
E09000027,Richmond upon Thames,utla,2022-05-30,70
E09000027,Richmond upon Thames,utla,2022-05-29,0
E09000027,Richmond upon Thames,utla,2022-05-28,0
E09000027,Richmond upon Thames,utla,2022-05-27,22
E09000027,Richmond upon Thames,utla,2022-05-26,24
E09000027,Richmond upon Thames,utla,2022-05-25,31
E09000027,Richmond upon Thames,utla,2022-05-24,32
E09000027,Richmond upon Thames,utla,2022-05-23,55
E09000027,Richmond upon Thames,utla,2022-05-22,0
E09000027,Richmond upon Thames,utla,2022-05-21,0
E09000027,Richmond upon Thames,utla,2022-05-20,32
E09000027,Richmond upon Thames,utla,2022-05-19,22
E09000027,Richmond upon Thames,utla,2022-05-18,34
E09000027,Richmond upon Thames,utla,2022-05-17,25
E09000027,Richmond upon Thames,utla,2022-05-16,73
E09000027,Richmond upon Thames,utla,2022-05-15,0
E09000027,Richmond upon Thames,utla,2022-05-14,0
E09000027,Richmond upon Thames,utla,2022-05-13,23
E09000027,Richmond upon Thames,utla,2022-05-12,24
E09000027,Richmond upon Thames,utla,2022-05-11,34
E09000027,Richmond upon Thames,utla,2022-05-10,39
E09000027,Richmond upon Thames,utla,2022-05-09,86
E09000027,Richmond upon Thames,utla,2022-05-08,0
E09000027,Richmond upon Thames,utla,2022-05-07,0
E09000027,Richmond upon Thames,utla,2022-05-06,34
E09000027,Richmond upon Thames,utla,2022-05-05,29
E09000027,Richmond upon Thames,utla,2022-05-04,56
E09000027,Richmond upon Thames,utla,2022-05-03,96
E09000027,Richmond upon Thames,utla,2022-05-02,0
E09000027,Richmond upon Thames,utla,2022-05-01,0
E09000027,Richmond upon Thames,utla,2022-04-30,0
E09000027,Richmond upon Thames,utla,2022-04-29,36
E09000027,Richmond upon Thames,utla,2022-04-28,51
E09000027,Richmond upon Thames,utla,2022-04-27,69
E09000027,Richmond upon Thames,utla,2022-04-26,0
E09000027,Richmond upon Thames,utla,2022-04-25,100
E09000027,Richmond upon Thames,utla,2022-04-24,0
E09000027,Richmond upon Thames,utla,2022-04-23,0
E09000027,Richmond upon Thames,utla,2022-04-22,37
E09000027,Richmond upon Thames,utla,2022-04-21,56
E09000027,Richmond upon Thames,utla,2022-04-20,70
E09000027,Richmond upon Thames,utla,2022-04-19,335
E09000027,Richmond upon Thames,utla,2022-04-18,0
E09000027,Richmond upon Thames,utla,2022-04-17,0
E09000027,Richmond upon Thames,utla,2022-04-16,0
E09000027,Richmond upon Thames,utla,2022-04-15,0
E09000027,Richmond upon Thames,utla,2022-04-14,99
E09000027,Richmond upon Thames,utla,2022-04-13,106
E09000027,Richmond upon Thames,utla,2022-04-12,92
E09000027,Richmond upon Thames,utla,2022-04-11,262
E09000027,Richmond upon Thames,utla,2022-04-10,0
E09000027,Richmond upon Thames,utla,2022-04-09,0
E09000027,Richmond upon Thames,utla,2022-04-08,103
E09000027,Richmond upon Thames,utla,2022-04-07,128
E09000027,Richmond upon Thames,utla,2022-04-06,136
E09000027,Richmond upon Thames,utla,2022-04-05,108
E09000027,Richmond upon Thames,utla,2022-04-04,450
E09000027,Richmond upon Thames,utla,2022-04-03,0
E09000027,Richmond upon Thames,utla,2022-04-02,0
E09000027,Richmond upon Thames,utla,2022-04-01,191
E09000027,Richmond upon Thames,utla,2022-03-31,238
E09000027,Richmond upon Thames,utla,2022-03-30,261
E09000027,Richmond upon Thames,utla,2022-03-29,209
E09000027,Richmond upon Thames,utla,2022-03-28,661
E09000027,Richmond upon Thames,utla,2022-03-27,0
