areaCode,areaName,areaType,date,newCasesByPublishDate
E10000027,Somerset,utla,2023-02-23,252
E10000027,Somerset,utla,2023-02-22,0
E10000027,Somerset,utla,2023-02-21,0
E10000027,Somerset,utla,2023-02-20,0
E10000027,Somerset,utla,2023-02-19,0
E10000027,Somerset,utla,2023-02-18,0
E10000027,Somerset,utla,2023-02-17,0
E10000027,Somerset,utla,2023-02-16,293
E10000027,Somerset,utla,2023-02-15,0
E10000027,Somerset,utla,2023-02-14,0
E10000027,Somerset,utla,2023-02-13,0
E10000027,Somerset,utla,2023-02-12,0
E10000027,Somerset,utla,2023-02-11,0
E10000027,Somerset,utla,2023-02-10,0
E10000027,Somerset,utla,2023-02-09,243
E10000027,Somerset,utla,2023-02-08,0
E10000027,Somerset,utla,2023-02-07,0
E10000027,Somerset,utla,2023-02-06,0
E10000027,Somerset,utla,2023-02-05,0
E10000027,Somerset,utla,2023-02-04,0
E10000027,Somerset,utla,2023-02-03,0
E10000027,Somerset,utla,2023-02-02,234
E10000027,Somerset,utla,2023-02-01,0
E10000027,Somerset,utla,2023-01-31,0
E10000027,Somerset,utla,2023-01-30,0
E10000027,Somerset,utla,2023-01-29,0
E10000027,Somerset,utla,2023-01-28,0
E10000027,Somerset,utla,2023-01-27,0
E10000027,Somerset,utla,2023-01-26,139
E10000027,Somerset,utla,2023-01-25,0
E10000027,Somerset,utla,2023-01-24,0
E10000027,Somerset,utla,2023-01-23,0
E10000027,Somerset,utla,2023-01-22,0
E10000027,Somerset,utla,2023-01-21,0
E10000027,Somerset,utla,2023-01-20,0
E10000027,Somerset,utla,2023-01-19,191
E10000027,Somerset,utla,2023-01-18,0
E10000027,Somerset,utla,2023-01-17,0
E10000027,Somerset,utla,2023-01-16,0
E10000027,Somerset,utla,2023-01-15,0
E10000027,Somerset,utla,2023-01-14,0
E10000027,Somerset,utla,2023-01-13,0
E10000027,Somerset,utla,2023-01-12,294
E10000027,Somerset,utla,2023-01-11,0
E10000027,Somerset,utla,2023-01-10,0
E10000027,Somerset,utla,2023-01-09,0
E10000027,Somerset,utla,2023-01-08,0
E10000027,Somerset,utla,2023-01-07,0
E10000027,Somerset,utla,2023-01-06,0
E10000027,Somerset,utla,2023-01-05,571
E10000027,Somerset,utla,2023-01-04,0
E10000027,Somerset,utla,2023-01-03,0
E10000027,Somerset,utla,2023-01-02,0
E10000027,Somerset,utla,2023-01-01,0
E10000027,Somerset,utla,2022-12-31,0
E10000027,Somerset,utla,2022-12-30,0
E10000027,Somerset,utla,2022-12-29,589
E10000027,Somerset,utla,2022-12-28,0
E10000027,Somerset,utla,2022-12-27,0
E10000027,Somerset,utla,2022-12-26,0
E10000027,Somerset,utla,2022-12-25,0
E10000027,Somerset,utla,2022-12-24,0
E10000027,Somerset,utla,2022-12-23,0
E10000027,Somerset,utla,2022-12-22,758
E10000027,Somerset,utla,2022-12-21,0
E10000027,Somerset,utla,2022-12-20,0
E10000027,Somerset,utla,2022-12-19,0
E10000027,Somerset,utla,2022-12-18,0
E10000027,Somerset,utla,2022-12-17,0
