areaName,date,newCasesByPublishDate
Rhondda Cynon Taf,2022-05-16,3
Rhondda Cynon Taf,2022-05-17,4
Rhondda Cynon Taf,2022-05-18,3
Rhondda Cynon Taf,2022-05-19,1
Rhondda Cynon Taf,2022-05-20,6
Rhondda Cynon Taf,2022-05-21,0
Rhondda Cynon Taf,2022-05-22,0
Rhondda Cynon Taf,2022-05-23,1
Rhondda Cynon Taf,2022-05-24,4
Rhondda Cynon Taf,2022-05-25,3
Rhondda Cynon Taf,2022-05-26,5
Rhondda Cynon Taf,2022-05-27,0
Rhondda Cynon Taf,2022-05-28,0
Rhondda Cynon Taf,2022-05-29,0
Rhondda Cynon Taf,2022-05-30,0
Rhondda Cynon Taf,2022-05-31,0
Rhondda Cynon Taf,2022-06-01,0
Rhondda Cynon Taf,2022-06-02,0
Rhondda Cynon Taf,2022-06-03,0
Rhondda Cynon Taf,2022-06-04,0
Rhondda Cynon Taf,2022-06-05,0
Rhondda Cynon Taf,2022-06-06,12
Rhondda Cynon Taf,2022-06-07,0
Rhondda Cynon Taf,2022-06-08,0
Rhondda Cynon Taf,2022-06-09,25
Rhondda Cynon Taf,2022-06-10,0
Rhondda Cynon Taf,2022-06-11,0
Rhondda Cynon Taf,2022-06-12,0
Rhondda Cynon Taf,2022-06-13,0
Rhondda Cynon Taf,2022-06-14,0
Rhondda Cynon Taf,2022-06-15,0
Rhondda Cynon Taf,2022-06-16,30
Rhondda Cynon Taf,2022-06-17,0
Rhondda Cynon Taf,2022-06-18,0
Rhondda Cynon Taf,2022-06-19,0
Rhondda Cynon Taf,2022-06-20,0
Rhondda Cynon Taf,2022-06-21,0
Rhondda Cynon Taf,2022-06-22,0
Rhondda Cynon Taf,2022-06-23,64
Rhondda Cynon Taf,2022-06-24,0
Rhondda Cynon Taf,2022-06-25,0
Rhondda Cynon Taf,2022-06-26,0
Rhondda Cynon Taf,2022-06-27,0
Rhondda Cynon Taf,2022-06-28,0
Rhondda Cynon Taf,2022-06-29,0
Rhondda Cynon Taf,2022-06-30,83
Rhondda Cynon Taf,2022-07-01,0
Rhondda Cynon Taf,2022-07-02,0
Rhondda Cynon Taf,2022-07-03,0
Rhondda Cynon Taf,2022-07-04,0
Rhondda Cynon Taf,2022-07-05,0
Rhondda Cynon Taf,2022-07-06,0
Rhondda Cynon Taf,2022-07-07,83
Rhondda Cynon Taf,2022-07-08,0
Rhondda Cynon Taf,2022-07-09,0
Rhondda Cynon Taf,2022-07-10,0
Rhondda Cynon Taf,2022-07-11,0
Rhondda Cynon Taf,2022-07-12,0
Rhondda Cynon Taf,2022-07-13,0
Rhondda Cynon Taf,2022-07-14,76
Rhondda Cynon Taf,2022-07-15,0
Rhondda Cynon Taf,2022-07-16,0
Rhondda Cynon Taf,2022-07-17,0
Rhondda Cynon Taf,2022-07-18,0
Rhondda Cynon Taf,2022-07-19,0
Rhondda Cynon Taf,2022-07-20,0
Rhondda Cynon Taf,2022-07-21,59
Rhondda Cynon Taf,2022-07-22,0
Rhondda Cynon Taf,2022-07-23,0
Rhondda Cynon Taf,2022-07-24,0
Rhondda Cynon Taf,2022-07-25,0
Rhondda Cynon Taf,2022-07-26,0
Rhondda Cynon Taf,2022-07-27,0
Rhondda Cynon Taf,2022-07-28,39
Rhondda Cynon Taf,2022-07-29,0
Rhondda Cynon Taf,2022-07-30,0
Rhondda Cynon Taf,2022-07-31,0
Rhondda Cynon Taf,2022-08-01,0
Rhondda Cynon Taf,2022-08-02,0
Rhondda Cynon Taf,2022-08-03,0
Rhondda Cynon Taf,2022-08-04,23
Rhondda Cynon Taf,2022-08-05,0
Rhondda Cynon Taf,2022-08-06,0
Rhondda Cynon Taf,2022-08-07,0
Rhondda Cynon Taf,2022-08-08,0
Rhondda Cynon Taf,2022-08-09,0
Rhondda Cynon Taf,2022-08-10,0
Rhondda Cynon Taf,2022-08-11,26
Rhondda Cynon Taf,2022-08-12,0
Rhondda Cynon Taf,2022-08-13,0
Rhondda Cynon Taf,2022-08-14,0
Rhondda Cynon Taf,2022-08-15,0
Rhondda Cynon Taf,2022-08-16,0
Rhondda Cynon Taf,2022-08-17,0
Rhondda Cynon Taf,2022-08-18,28
Rhondda Cynon Taf,2022-08-19,0
Rhondda Cynon Taf,2022-08-20,0
Rhondda Cynon Taf,2022-08-21,0
Rhondda Cynon Taf,2022-08-22,0
Rhondda Cynon Taf,2022-08-23,0
Rhondda Cynon Taf,2022-08-24,0
Rhondda Cynon Taf,2022-08-25,11
Rhondda Cynon Taf,2022-08-26,0
Rhondda Cynon Taf,2022-08-27,0
Rhondda Cynon Taf,2022-08-28,0
Rhondda Cynon Taf,2022-08-29,0
Rhondda Cynon Taf,2022-08-30,0
Rhondda Cynon Taf,2022-08-31,0
Rhondda Cynon Taf,2022-09-01,15
Rhondda Cynon Taf,2022-09-02,0
Rhondda Cynon Taf,2022-09-03,0
Rhondda Cynon Taf,2022-09-04,0
Rhondda Cynon Taf,2022-09-05,0
Rhondda Cynon Taf,2022-09-06,0
Rhondda Cynon Taf,2022-09-07,0
Rhondda Cynon Taf,2022-09-08,25
Rhondda Cynon Taf,2022-09-09,0
Rhondda Cynon Taf,2022-09-10,0
Rhondda Cynon Taf,2022-09-11,0
Rhondda Cynon Taf,2022-09-12,0
Rhondda Cynon Taf,2022-09-13,0
Rhondda Cynon Taf,2022-09-14,0
Rhondda Cynon Taf,2022-09-15,28
Rhondda Cynon Taf,2022-09-16,0
Rhondda Cynon Taf,2022-09-17,0
Rhondda Cynon Taf,2022-09-18,0
Rhondda Cynon Taf,2022-09-19,0
Rhondda Cynon Taf,2022-09-20,0
Rhondda Cynon Taf,2022-09-21,0
Rhondda Cynon Taf,2022-09-22,32
Rhondda Cynon Taf,2022-09-23,0
Rhondda Cynon Taf,2022-09-24,0
Rhondda Cynon Taf,2022-09-25,0
Rhondda Cynon Taf,2022-09-26,0
Rhondda Cynon Taf,2022-09-27,0
Rhondda Cynon Taf,2022-09-28,0
Rhondda Cynon Taf,2022-09-29,36
Rhondda Cynon Taf,2022-09-30,0
Rhondda Cynon Taf,2022-10-01,0
Rhondda Cynon Taf,2022-10-02,0
Rhondda Cynon Taf,2022-10-03,0
Rhondda Cynon Taf,2022-10-04,0
Rhondda Cynon Taf,2022-10-05,0
Rhondda Cynon Taf,2022-10-06,50
Rhondda Cynon Taf,2022-10-07,0
Rhondda Cynon Taf,2022-10-08,0
Rhondda Cynon Taf,2022-10-09,0
Rhondda Cynon Taf,2022-10-10,0
Rhondda Cynon Taf,2022-10-11,0
Rhondda Cynon Taf,2022-10-12,0
Rhondda Cynon Taf,2022-10-13,45
Rhondda Cynon Taf,2022-10-14,0
Rhondda Cynon Taf,2022-10-15,0
Rhondda Cynon Taf,2022-10-16,0
Rhondda Cynon Taf,2022-10-17,0
Rhondda Cynon Taf,2022-10-18,0
Rhondda Cynon Taf,2022-10-19,0
Rhondda Cynon Taf,2022-10-20,36
Rhondda Cynon Taf,2022-10-21,0
Rhondda Cynon Taf,2022-10-22,0
Rhondda Cynon Taf,2022-10-23,0
Rhondda Cynon Taf,2022-10-24,0
Rhondda Cynon Taf,2022-10-25,0
Rhondda Cynon Taf,2022-10-26,0
Rhondda Cynon Taf,2022-10-27,26
Rhondda Cynon Taf,2022-10-28,0
Rhondda Cynon Taf,2022-10-29,0
Rhondda Cynon Taf,2022-10-30,0
Rhondda Cynon Taf,2022-10-31,0
Rhondda Cynon Taf,2022-11-01,0
Rhondda Cynon Taf,2022-11-02,0
Rhondda Cynon Taf,2022-11-03,28
Rhondda Cynon Taf,2022-11-04,0
Rhondda Cynon Taf,2022-11-05,0
Rhondda Cynon Taf,2022-11-06,0
Rhondda Cynon Taf,2022-11-07,0
Rhondda Cynon Taf,2022-11-08,0
Rhondda Cynon Taf,2022-11-09,0
Rhondda Cynon Taf,2022-11-10,17
Rhondda Cynon Taf,2022-11-11,0
Rhondda Cynon Taf,2022-11-12,0
Rhondda Cynon Taf,2022-11-13,0
Rhondda Cynon Taf,2022-11-14,0
Rhondda Cynon Taf,2022-11-15,0
Rhondda Cynon Taf,2022-11-16,0
Rhondda Cynon Taf,2022-11-17,15
Rhondda Cynon Taf,2022-11-18,0
Rhondda Cynon Taf,2022-11-19,0
Rhondda Cynon Taf,2022-11-20,0
Rhondda Cynon Taf,2022-11-21,0
Rhondda Cynon Taf,2022-11-22,0
Rhondda Cynon Taf,2022-11-23,0
Rhondda Cynon Taf,2022-11-24,17
Rhondda Cynon Taf,2022-11-25,0
Rhondda Cynon Taf,2022-11-26,0
Rhondda Cynon Taf,2022-11-27,0
Rhondda Cynon Taf,2022-11-28,0
Rhondda Cynon Taf,2022-11-29,0
Rhondda Cynon Taf,2022-11-30,0
Rhondda Cynon Taf,2022-12-01,16
Rhondda Cynon Taf,2022-12-02,0
Rhondda Cynon Taf,2022-12-03,0
Rhondda Cynon Taf,2022-12-04,0
Rhondda Cynon Taf,2022-12-05,0
Rhondda Cynon Taf,2022-12-06,0
Rhondda Cynon Taf,2022-12-07,0
Rhondda Cynon Taf,2022-12-08,29
Rhondda Cynon Taf,2022-12-09,0
Rhondda Cynon Taf,2022-12-10,0
Rhondda Cynon Taf,2022-12-11,0
Rhondda Cynon Taf,2022-12-12,0
Rhondda Cynon Taf,2022-12-13,0
Rhondda Cynon Taf,2022-12-14,0
Rhondda Cynon Taf,2022-12-15,43
Rhondda Cynon Taf,2022-12-16,0
Rhondda Cynon Taf,2022-12-17,0
Rhondda Cynon Taf,2022-12-18,0
Rhondda Cynon Taf,2022-12-19,0
Rhondda Cynon Taf,2022-12-20,0
Rhondda Cynon Taf,2022-12-21,0
Rhondda Cynon Taf,2022-12-22,58
Rhondda Cynon Taf,2022-12-23,0
Rhondda Cynon Taf,2022-12-24,0
Rhondda Cynon Taf,2022-12-25,0
Rhondda Cynon Taf,2022-12-26,0
Rhondda Cynon Taf,2022-12-27,0
Rhondda Cynon Taf,2022-12-28,0
Rhondda Cynon Taf,2022-12-29,40
Rhondda Cynon Taf,2022-12-30,0
Rhondda Cynon Taf,2022-12-31,0
Rhondda Cynon Taf,2023-01-01,0
Rhondda Cynon Taf,2023-01-02,0
Rhondda Cynon Taf,2023-01-03,0
Rhondda Cynon Taf,2023-01-04,0
Rhondda Cynon Taf,2023-01-05,37
Rhondda Cynon Taf,2023-01-06,0
Rhondda Cynon Taf,2023-01-07,0
Rhondda Cynon Taf,2023-01-08,0
Rhondda Cynon Taf,2023-01-09,0
Rhondda Cynon Taf,2023-01-10,0
Rhondda Cynon Taf,2023-01-11,0
Rhondda Cynon Taf,2023-01-12,20
Rhondda Cynon Taf,2023-01-13,0
Rhondda Cynon Taf,2023-01-14,0
Rhondda Cynon Taf,2023-01-15,0
Rhondda Cynon Taf,2023-01-16,0
Rhondda Cynon Taf,2023-01-17,0
Rhondda Cynon Taf,2023-01-18,0
Rhondda Cynon Taf,2023-01-19,13
Rhondda Cynon Taf,2023-01-20,0
Rhondda Cynon Taf,2023-01-21,0
Rhondda Cynon Taf,2023-01-22,0
Rhondda Cynon Taf,2023-01-23,0
Rhondda Cynon Taf,2023-01-24,0
Rhondda Cynon Taf,2023-01-25,0
Rhondda Cynon Taf,2023-01-26,17
Rhondda Cynon Taf,2023-01-27,0
Rhondda Cynon Taf,2023-01-28,0
Rhondda Cynon Taf,2023-01-29,0
Rhondda Cynon Taf,2023-01-30,0
Rhondda Cynon Taf,2023-01-31,0
Rhondda Cynon Taf,2023-02-01,0
Rhondda Cynon Taf,2023-02-02,18
Rhondda Cynon Taf,2023-02-03,0
Rhondda Cynon Taf,2023-02-04,0
Rhondda Cynon Taf,2023-02-05,0
Rhondda Cynon Taf,2023-02-06,0
Rhondda Cynon Taf,2023-02-07,0
Rhondda Cynon Taf,2023-02-08,0
Rhondda Cynon Taf,2023-02-09,24
Rhondda Cynon Taf,2023-02-10,0
Rhondda Cynon Taf,2023-02-11,0
Rhondda Cynon Taf,2023-02-12,0
Rhondda Cynon Taf,2023-02-13,0
Rhondda Cynon Taf,2023-02-14,0
Rhondda Cynon Taf,2023-02-15,0
Rhondda Cynon Taf,2023-02-16,30
Rhondda Cynon Taf,2023-02-17,0
Rhondda Cynon Taf,2023-02-18,0
Rhondda Cynon Taf,2023-02-19,0
Rhondda Cynon Taf,2023-02-20,0
Rhondda Cynon Taf,2023-02-21,0
Rhondda Cynon Taf,2023-02-22,0
Rhondda Cynon Taf,2023-02-23,40
