areaName,date,newCasesByPublishDate
North Yorkshire,2022-08-23,0
North Yorkshire,2022-08-24,138
North Yorkshire,2022-08-25,0
North Yorkshire,2022-08-26,0
North Yorkshire,2022-08-27,0
North Yorkshire,2022-08-28,0
North Yorkshire,2022-08-29,0
North Yorkshire,2022-08-30,0
North Yorkshire,2022-08-31,144
North Yorkshire,2022-09-01,0
North Yorkshire,2022-09-02,0
North Yorkshire,2022-09-03,0
North Yorkshire,2022-09-04,0
North Yorkshire,2022-09-05,0
North Yorkshire,2022-09-06,0
North Yorkshire,2022-09-07,0
North Yorkshire,2022-09-08,165
North Yorkshire,2022-09-09,0
North Yorkshire,2022-09-10,0
North Yorkshire,2022-09-11,0
North Yorkshire,2022-09-12,0
North Yorkshire,2022-09-13,0
North Yorkshire,2022-09-14,0
North Yorkshire,2022-09-15,171
North Yorkshire,2022-09-16,0
North Yorkshire,2022-09-17,0
North Yorkshire,2022-09-18,0
North Yorkshire,2022-09-19,0
North Yorkshire,2022-09-20,0
North Yorkshire,2022-09-21,0
North Yorkshire,2022-09-22,196
North Yorkshire,2022-09-23,0
North Yorkshire,2022-09-24,0
North Yorkshire,2022-09-25,0
North Yorkshire,2022-09-26,0
North Yorkshire,2022-09-27,0
North Yorkshire,2022-09-28,0
North Yorkshire,2022-09-29,274
North Yorkshire,2022-09-30,0
North Yorkshire,2022-10-01,0
North Yorkshire,2022-10-02,0
North Yorkshire,2022-10-03,0
North Yorkshire,2022-10-04,0
North Yorkshire,2022-10-05,0
North Yorkshire,2022-10-06,367
North Yorkshire,2022-10-07,0
North Yorkshire,2022-10-08,0
North Yorkshire,2022-10-09,0
North Yorkshire,2022-10-10,0
North Yorkshire,2022-10-11,0
North Yorkshire,2022-10-12,0
North Yorkshire,2022-10-13,323
North Yorkshire,2022-10-14,0
North Yorkshire,2022-10-15,0
North Yorkshire,2022-10-16,0
North Yorkshire,2022-10-17,0
North Yorkshire,2022-10-18,0
North Yorkshire,2022-10-19,0
North Yorkshire,2022-10-20,324
North Yorkshire,2022-10-21,0
North Yorkshire,2022-10-22,0
North Yorkshire,2022-10-23,0
North Yorkshire,2022-10-24,0
North Yorkshire,2022-10-25,0
North Yorkshire,2022-10-26,0
North Yorkshire,2022-10-27,226
North Yorkshire,2022-10-28,0
North Yorkshire,2022-10-29,0
North Yorkshire,2022-10-30,0
North Yorkshire,2022-10-31,0
North Yorkshire,2022-11-01,0
North Yorkshire,2022-11-02,0
North Yorkshire,2022-11-03,166
North Yorkshire,2022-11-04,0
North Yorkshire,2022-11-05,0
North Yorkshire,2022-11-06,0
North Yorkshire,2022-11-07,0
North Yorkshire,2022-11-08,0
North Yorkshire,2022-11-09,0
North Yorkshire,2022-11-10,105
North Yorkshire,2022-11-11,0
North Yorkshire,2022-11-12,0
North Yorkshire,2022-11-13,0
North Yorkshire,2022-11-14,0
North Yorkshire,2022-11-15,0
North Yorkshire,2022-11-16,0
