areaName,date,newCasesByPublishDate
North Lanarkshire,2022-10-04,0
North Lanarkshire,2022-10-05,22
North Lanarkshire,2022-10-06,0
North Lanarkshire,2022-10-07,0
North Lanarkshire,2022-10-08,0
North Lanarkshire,2022-10-09,0
North Lanarkshire,2022-10-10,0
North Lanarkshire,2022-10-11,0
North Lanarkshire,2022-10-12,28
North Lanarkshire,2022-10-13,0
North Lanarkshire,2022-10-14,0
North Lanarkshire,2022-10-15,0
North Lanarkshire,2022-10-16,0
North Lanarkshire,2022-10-17,0
North Lanarkshire,2022-10-18,0
North Lanarkshire,2022-10-19,20
North Lanarkshire,2022-10-20,0
North Lanarkshire,2022-10-21,0
North Lanarkshire,2022-10-22,0
North Lanarkshire,2022-10-23,0
North Lanarkshire,2022-10-24,0
North Lanarkshire,2022-10-25,0
North Lanarkshire,2022-10-26,24
North Lanarkshire,2022-10-27,0
North Lanarkshire,2022-10-28,0
North Lanarkshire,2022-10-29,0
North Lanarkshire,2022-10-30,0
North Lanarkshire,2022-10-31,0
North Lanarkshire,2022-11-01,0
North Lanarkshire,2022-11-02,24
North Lanarkshire,2022-11-03,0
North Lanarkshire,2022-11-04,0
North Lanarkshire,2022-11-05,0
North Lanarkshire,2022-11-06,0
North Lanarkshire,2022-11-07,0
North Lanarkshire,2022-11-08,0
North Lanarkshire,2022-11-09,17
North Lanarkshire,2022-11-10,0
North Lanarkshire,2022-11-11,0
North Lanarkshire,2022-11-12,0
North Lanarkshire,2022-11-13,0
North Lanarkshire,2022-11-14,0
North Lanarkshire,2022-11-15,0
North Lanarkshire,2022-11-16,16
North Lanarkshire,2022-11-17,0
North Lanarkshire,2022-11-18,0
North Lanarkshire,2022-11-19,0
North Lanarkshire,2022-11-20,0
North Lanarkshire,2022-11-21,0
North Lanarkshire,2022-11-22,0
North Lanarkshire,2022-11-23,13
North Lanarkshire,2022-11-24,0
North Lanarkshire,2022-11-25,0
North Lanarkshire,2022-11-26,0
North Lanarkshire,2022-11-27,0
North Lanarkshire,2022-11-28,0
North Lanarkshire,2022-11-29,0
North Lanarkshire,2022-11-30,14
North Lanarkshire,2022-12-01,0
North Lanarkshire,2022-12-02,0
North Lanarkshire,2022-12-03,0
North Lanarkshire,2022-12-04,0
North Lanarkshire,2022-12-05,0
North Lanarkshire,2022-12-06,0
North Lanarkshire,2022-12-07,17
North Lanarkshire,2022-12-08,0
North Lanarkshire,2022-12-09,0
North Lanarkshire,2022-12-10,0
North Lanarkshire,2022-12-11,0
North Lanarkshire,2022-12-12,0
North Lanarkshire,2022-12-13,0
North Lanarkshire,2022-12-14,18
North Lanarkshire,2022-12-15,0
North Lanarkshire,2022-12-16,0
North Lanarkshire,2022-12-17,0
North Lanarkshire,2022-12-18,0
North Lanarkshire,2022-12-19,0
North Lanarkshire,2022-12-20,0
North Lanarkshire,2022-12-21,26
North Lanarkshire,2022-12-22,0
North Lanarkshire,2022-12-23,0
North Lanarkshire,2022-12-24,0
North Lanarkshire,2022-12-25,0
North Lanarkshire,2022-12-26,0
North Lanarkshire,2022-12-27,0
North Lanarkshire,2022-12-28,0
North Lanarkshire,2022-12-29,0
North Lanarkshire,2022-12-30,0
North Lanarkshire,2022-12-31,0
North Lanarkshire,2023-01-01,0
North Lanarkshire,2023-01-02,0
North Lanarkshire,2023-01-03,0
North Lanarkshire,2023-01-04,0
North Lanarkshire,2023-01-05,0
North Lanarkshire,2023-01-06,0
North Lanarkshire,2023-01-07,0
North Lanarkshire,2023-01-08,0
North Lanarkshire,2023-01-09,0
North Lanarkshire,2023-01-10,0
North Lanarkshire,2023-01-11,67
North Lanarkshire,2023-01-12,0
North Lanarkshire,2023-01-13,0
North Lanarkshire,2023-01-14,0
North Lanarkshire,2023-01-15,0
North Lanarkshire,2023-01-16,0
North Lanarkshire,2023-01-17,0
North Lanarkshire,2023-01-18,15
North Lanarkshire,2023-01-19,0
North Lanarkshire,2023-01-20,0
North Lanarkshire,2023-01-21,0
North Lanarkshire,2023-01-22,0
North Lanarkshire,2023-01-23,0
North Lanarkshire,2023-01-24,0
North Lanarkshire,2023-01-25,0
North Lanarkshire,2023-01-26,11
North Lanarkshire,2023-01-27,0
North Lanarkshire,2023-01-28,0
North Lanarkshire,2023-01-29,0
North Lanarkshire,2023-01-30,0
North Lanarkshire,2023-01-31,0
North Lanarkshire,2023-02-01,0
North Lanarkshire,2023-02-02,8
North Lanarkshire,2023-02-03,0
North Lanarkshire,2023-02-04,0
North Lanarkshire,2023-02-05,0
North Lanarkshire,2023-02-06,0
North Lanarkshire,2023-02-07,0
North Lanarkshire,2023-02-08,0
North Lanarkshire,2023-02-09,12
North Lanarkshire,2023-02-10,0
North Lanarkshire,2023-02-11,0
North Lanarkshire,2023-02-12,0
North Lanarkshire,2023-02-13,0
North Lanarkshire,2023-02-14,0
North Lanarkshire,2023-02-15,0
North Lanarkshire,2023-02-16,13
North Lanarkshire,2023-02-17,0
North Lanarkshire,2023-02-18,0
North Lanarkshire,2023-02-19,0
North Lanarkshire,2023-02-20,0
North Lanarkshire,2023-02-21,0
North Lanarkshire,2023-02-22,0
North Lanarkshire,2023-02-23,15
