areaName,date,newCasesByPublishDate
Peterborough,2022-05-18,24
Peterborough,2022-05-19,29
Peterborough,2022-05-20,31
Peterborough,2022-05-21,0
Peterborough,2022-05-22,0
Peterborough,2022-05-23,48
Peterborough,2022-05-24,24
Peterborough,2022-05-25,19
Peterborough,2022-05-26,17
Peterborough,2022-05-27,13
Peterborough,2022-05-28,0
Peterborough,2022-05-29,0
Peterborough,2022-05-30,50
Peterborough,2022-05-31,15
Peterborough,2022-06-01,14
Peterborough,2022-06-02,0
Peterborough,2022-06-03,0
Peterborough,2022-06-04,0
Peterborough,2022-06-05,0
Peterborough,2022-06-06,77
Peterborough,2022-06-07,36
Peterborough,2022-06-08,27
Peterborough,2022-06-09,27
Peterborough,2022-06-10,21
Peterborough,2022-06-11,0
Peterborough,2022-06-12,0
Peterborough,2022-06-13,83
Peterborough,2022-06-14,28
Peterborough,2022-06-15,37
Peterborough,2022-06-16,36
Peterborough,2022-06-17,32
Peterborough,2022-06-18,0
Peterborough,2022-06-19,0
Peterborough,2022-06-20,117
Peterborough,2022-06-21,60
Peterborough,2022-06-22,70
Peterborough,2022-06-23,36
Peterborough,2022-06-24,62
Peterborough,2022-06-25,0
Peterborough,2022-06-26,0
Peterborough,2022-06-27,150
Peterborough,2022-06-28,68
Peterborough,2022-06-29,71
Peterborough,2022-06-30,62
Peterborough,2022-07-01,86
Peterborough,2022-07-02,0
Peterborough,2022-07-03,0
Peterborough,2022-07-04,0
Peterborough,2022-07-05,0
Peterborough,2022-07-06,457
Peterborough,2022-07-07,0
Peterborough,2022-07-08,0
Peterborough,2022-07-09,0
Peterborough,2022-07-10,0
Peterborough,2022-07-11,0
Peterborough,2022-07-12,0
Peterborough,2022-07-13,678
Peterborough,2022-07-14,0
Peterborough,2022-07-15,0
Peterborough,2022-07-16,0
Peterborough,2022-07-17,0
Peterborough,2022-07-18,0
Peterborough,2022-07-19,0
Peterborough,2022-07-20,513
Peterborough,2022-07-21,0
Peterborough,2022-07-22,0
Peterborough,2022-07-23,0
Peterborough,2022-07-24,0
Peterborough,2022-07-25,0
Peterborough,2022-07-26,0
Peterborough,2022-07-27,368
Peterborough,2022-07-28,0
Peterborough,2022-07-29,0
Peterborough,2022-07-30,0
Peterborough,2022-07-31,0
Peterborough,2022-08-01,0
Peterborough,2022-08-02,0
Peterborough,2022-08-03,286
Peterborough,2022-08-04,0
Peterborough,2022-08-05,0
Peterborough,2022-08-06,0
Peterborough,2022-08-07,0
Peterborough,2022-08-08,0
Peterborough,2022-08-09,0
Peterborough,2022-08-10,194
Peterborough,2022-08-11,0
Peterborough,2022-08-12,0
Peterborough,2022-08-13,0
Peterborough,2022-08-14,0
Peterborough,2022-08-15,0
Peterborough,2022-08-16,0
Peterborough,2022-08-17,165
Peterborough,2022-08-18,0
Peterborough,2022-08-19,0
Peterborough,2022-08-20,0
Peterborough,2022-08-21,0
Peterborough,2022-08-22,0
Peterborough,2022-08-23,0
Peterborough,2022-08-24,156
Peterborough,2022-08-25,0
Peterborough,2022-08-26,0
Peterborough,2022-08-27,0
Peterborough,2022-08-28,0
Peterborough,2022-08-29,0
Peterborough,2022-08-30,0
Peterborough,2022-08-31,119
Peterborough,2022-09-01,0
Peterborough,2022-09-02,0
Peterborough,2022-09-03,0
Peterborough,2022-09-04,0
Peterborough,2022-09-05,0
Peterborough,2022-09-06,0
Peterborough,2022-09-07,0
Peterborough,2022-09-08,120
Peterborough,2022-09-09,0
Peterborough,2022-09-10,0
Peterborough,2022-09-11,0
Peterborough,2022-09-12,0
Peterborough,2022-09-13,0
Peterborough,2022-09-14,0
Peterborough,2022-09-15,117
Peterborough,2022-09-16,0
Peterborough,2022-09-17,0
Peterborough,2022-09-18,0
Peterborough,2022-09-19,0
Peterborough,2022-09-20,0
Peterborough,2022-09-21,0
Peterborough,2022-09-22,145
Peterborough,2022-09-23,0
Peterborough,2022-09-24,0
Peterborough,2022-09-25,0
Peterborough,2022-09-26,0
Peterborough,2022-09-27,0
Peterborough,2022-09-28,0
Peterborough,2022-09-29,155
Peterborough,2022-09-30,0
Peterborough,2022-10-01,0
Peterborough,2022-10-02,0
Peterborough,2022-10-03,0
Peterborough,2022-10-04,0
Peterborough,2022-10-05,0
Peterborough,2022-10-06,162
Peterborough,2022-10-07,0
Peterborough,2022-10-08,0
Peterborough,2022-10-09,0
Peterborough,2022-10-10,0
Peterborough,2022-10-11,0
Peterborough,2022-10-12,0
Peterborough,2022-10-13,198
Peterborough,2022-10-14,0
Peterborough,2022-10-15,0
Peterborough,2022-10-16,0
Peterborough,2022-10-17,0
Peterborough,2022-10-18,0
Peterborough,2022-10-19,0
Peterborough,2022-10-20,187
Peterborough,2022-10-21,0
Peterborough,2022-10-22,0
Peterborough,2022-10-23,0
Peterborough,2022-10-24,0
Peterborough,2022-10-25,0
Peterborough,2022-10-26,0
Peterborough,2022-10-27,132
Peterborough,2022-10-28,0
Peterborough,2022-10-29,0
Peterborough,2022-10-30,0
Peterborough,2022-10-31,0
Peterborough,2022-11-01,0
Peterborough,2022-11-02,0
Peterborough,2022-11-03,78
Peterborough,2022-11-04,0
Peterborough,2022-11-05,0
Peterborough,2022-11-06,0
Peterborough,2022-11-07,0
Peterborough,2022-11-08,0
Peterborough,2022-11-09,0
Peterborough,2022-11-10,87
Peterborough,2022-11-11,0
Peterborough,2022-11-12,0
Peterborough,2022-11-13,0
Peterborough,2022-11-14,0
Peterborough,2022-11-15,0
Peterborough,2022-11-16,0
Peterborough,2022-11-17,56
Peterborough,2022-11-18,0
Peterborough,2022-11-19,0
Peterborough,2022-11-20,0
Peterborough,2022-11-21,0
Peterborough,2022-11-22,0
Peterborough,2022-11-23,0
Peterborough,2022-11-24,74
Peterborough,2022-11-25,0
Peterborough,2022-11-26,0
Peterborough,2022-11-27,0
Peterborough,2022-11-28,0
Peterborough,2022-11-29,0
Peterborough,2022-11-30,0
Peterborough,2022-12-01,60
Peterborough,2022-12-02,0
Peterborough,2022-12-03,0
Peterborough,2022-12-04,0
Peterborough,2022-12-05,0
Peterborough,2022-12-06,0
Peterborough,2022-12-07,0
Peterborough,2022-12-08,98
Peterborough,2022-12-09,0
Peterborough,2022-12-10,0
Peterborough,2022-12-11,0
Peterborough,2022-12-12,0
Peterborough,2022-12-13,0
Peterborough,2022-12-14,0
Peterborough,2022-12-15,133
Peterborough,2022-12-16,0
Peterborough,2022-12-17,0
Peterborough,2022-12-18,0
Peterborough,2022-12-19,0
Peterborough,2022-12-20,0
Peterborough,2022-12-21,0
Peterborough,2022-12-22,177
Peterborough,2022-12-23,0
Peterborough,2022-12-24,0
Peterborough,2022-12-25,0
Peterborough,2022-12-26,0
Peterborough,2022-12-27,0
Peterborough,2022-12-28,0
Peterborough,2022-12-29,115
Peterborough,2022-12-30,0
Peterborough,2022-12-31,0
Peterborough,2023-01-01,0
Peterborough,2023-01-02,0
Peterborough,2023-01-03,0
Peterborough,2023-01-04,0
Peterborough,2023-01-05,111
Peterborough,2023-01-06,0
Peterborough,2023-01-07,0
Peterborough,2023-01-08,0
Peterborough,2023-01-09,0
Peterborough,2023-01-10,0
Peterborough,2023-01-11,0
Peterborough,2023-01-12,71
Peterborough,2023-01-13,0
Peterborough,2023-01-14,0
Peterborough,2023-01-15,0
Peterborough,2023-01-16,0
Peterborough,2023-01-17,0
Peterborough,2023-01-18,0
Peterborough,2023-01-19,54
Peterborough,2023-01-20,0
Peterborough,2023-01-21,0
Peterborough,2023-01-22,0
Peterborough,2023-01-23,0
Peterborough,2023-01-24,0
Peterborough,2023-01-25,0
Peterborough,2023-01-26,65
Peterborough,2023-01-27,0
Peterborough,2023-01-28,0
Peterborough,2023-01-29,0
Peterborough,2023-01-30,0
Peterborough,2023-01-31,0
Peterborough,2023-02-01,0
Peterborough,2023-02-02,96
Peterborough,2023-02-03,0
Peterborough,2023-02-04,0
Peterborough,2023-02-05,0
Peterborough,2023-02-06,0
Peterborough,2023-02-07,0
Peterborough,2023-02-08,0
Peterborough,2023-02-09,97
Peterborough,2023-02-10,0
Peterborough,2023-02-11,0
Peterborough,2023-02-12,0
Peterborough,2023-02-13,0
Peterborough,2023-02-14,0
Peterborough,2023-02-15,0
Peterborough,2023-02-16,78
Peterborough,2023-02-17,0
Peterborough,2023-02-18,0
Peterborough,2023-02-19,0
Peterborough,2023-02-20,0
Peterborough,2023-02-21,0
Peterborough,2023-02-22,0
Peterborough,2023-02-23,94
